DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2018-03-11 00:00:00 +0800, BME280|BH1750FVI, 17.77, 64.28, 1021.810, 54612
2018-03-11 00:00:07 +0800, BME280|BH1750FVI, 17.76, 64.72, 1021.802, 54612
2018-03-11 00:00:14 +0800, BME280|BH1750FVI, 17.77, 64.85, 1021.806, 54612
2018-03-11 00:00:21 +0800, BME280|BH1750FVI, 17.77, 65.17, 1021.833, 54612
2018-03-11 00:00:28 +0800, BME280|BH1750FVI, 17.76, 65.32, 1021.821, 54612
2018-03-11 00:00:36 +0800, BME280|BH1750FVI, 17.75, 65.52, 1021.828, 54612
2018-03-11 00:00:46 +0800, BME280|BH1750FVI, 17.74, 65.99, 1021.800, 54612
2018-03-11 00:00:53 +0800, BME280|BH1750FVI, 17.74, 65.99, 1021.800, 54612
2018-03-11 00:01:01 +0800, BME280|BH1750FVI, 17.76, 66.29, 1021.837, 54612
2018-03-11 00:01:08 +0800, BME280|BH1750FVI, 17.78, 65.85, 1021.833, 54612
2018-03-11 00:01:15 +0800, BME280|BH1750FVI, 17.79, 65.08, 1021.792, 54612
2018-03-11 00:01:22 +0800, BME280|BH1750FVI, 17.77, 64.56, 1021.802, 54612
2018-03-11 00:01:29 +0800, BME280|BH1750FVI, 17.76, 63.99, 1021.810, 54612
2018-03-11 00:01:36 +0800, BME280|BH1750FVI, 17.74, 64.28, 1021.822, 54612
2018-03-11 00:01:43 +0800, BME280|BH1750FVI, 17.74, 66.05, 1021.807, 54612
2018-03-11 00:01:50 +0800, BME280|BH1750FVI, 17.77, 66.33, 1021.825, 54612
2018-03-11 00:01:57 +0800, BME280|BH1750FVI, 17.79, 65.29, 1021.797, 54612
2018-03-11 00:02:04 +0800, BME280|BH1750FVI, 17.82, 65.29, 1021.808, 54612
2018-03-11 00:02:12 +0800, BME280|BH1750FVI, 17.82, 64.17, 1021.792, 54612
2018-03-11 00:02:19 +0800, BME280|BH1750FVI, 17.83, 64.97, 1021.819, 54612
2018-03-11 00:02:26 +0800, BME280|BH1750FVI, 17.84, 65.05, 1021.817, 54612
2018-03-11 00:02:33 +0800, BME280|BH1750FVI, 17.84, 64.64, 1021.795, 54612
2018-03-11 00:02:40 +0800, BME280|BH1750FVI, 17.85, 65.16, 1021.799, 54612
2018-03-11 00:02:47 +0800, BME280|BH1750FVI, 17.89, 65.63, 1021.804, 54612
2018-03-11 00:02:54 +0800, BME280|BH1750FVI, 17.90, 64.82, 1021.793, 54612
2018-03-11 00:03:01 +0800, BME280|BH1750FVI, 17.93, 65.37, 1021.829, 54612
2018-03-11 00:03:09 +0800, BME280|BH1750FVI, 17.93, 65.16, 1021.791, 54612
2018-03-11 00:03:16 +0800, BME280|BH1750FVI, 17.93, 64.42, 1021.811, 54612
2018-03-11 00:03:23 +0800, BME280|BH1750FVI, 17.92, 64.51, 1021.827, 54612
2018-03-11 00:03:30 +0800, BME280|BH1750FVI, 17.92, 64.96, 1021.793, 54612
2018-03-11 00:03:37 +0800, BME280|BH1750FVI, 17.93, 64.77, 1021.803, 54612
2018-03-11 00:03:44 +0800, BME280|BH1750FVI, 17.95, 65.11, 1021.799, 54612
2018-03-11 00:03:51 +0800, BME280|BH1750FVI, 17.97, 64.91, 1021.802, 54612
2018-03-11 00:03:58 +0800, BME280|BH1750FVI, 17.98, 64.69, 1021.790, 54612
2018-03-11 00:04:06 +0800, BME280|BH1750FVI, 17.99, 64.76, 1021.781, 54612
2018-03-11 00:04:13 +0800, BME280|BH1750FVI, 18.00, 64.55, 1021.785, 54612
2018-03-11 00:04:20 +0800, BME280|BH1750FVI, 18.02, 64.74, 1021.794, 54612
2018-03-11 00:04:27 +0800, BME280|BH1750FVI, 18.03, 64.82, 1021.786, 54612
2018-03-11 00:04:34 +0800, BME280|BH1750FVI, 18.06, 65.03, 1021.807, 54612
2018-03-11 00:04:41 +0800, BME280|BH1750FVI, 18.09, 64.53, 1021.806, 54612
2018-03-11 00:04:48 +0800, BME280|BH1750FVI, 18.10, 64.53, 1021.786, 54612
2018-03-11 00:04:55 +0800, BME280|BH1750FVI, 18.13, 64.96, 1021.765, 54612
2018-03-11 00:05:03 +0800, BME280|BH1750FVI, 18.16, 64.87, 1021.780, 54612
2018-03-11 00:05:10 +0800, BME280|BH1750FVI, 18.20, 64.14, 1021.780, 54612
2018-03-11 00:05:17 +0800, BME280|BH1750FVI, 18.22, 63.78, 1021.779, 54612
2018-03-11 00:05:24 +0800, BME280|BH1750FVI, 18.25, 62.60, 1021.757, 54612
2018-03-11 00:05:31 +0800, BME280|BH1750FVI, 18.27, 63.57, 1021.763, 54612
2018-03-11 00:05:38 +0800, BME280|BH1750FVI, 18.29, 63.58, 1021.751, 54612
2018-03-11 00:05:45 +0800, BME280|BH1750FVI, 18.31, 63.58, 1021.777, 54612
2018-03-11 00:05:53 +0800, BME280|BH1750FVI, 18.34, 63.12, 1021.747, 54612
2018-03-11 00:06:00 +0800, BME280|BH1750FVI, 18.35, 63.17, 1021.799, 54612
2018-03-11 00:06:07 +0800, BME280|BH1750FVI, 18.37, 63.17, 1021.775, 54612
2018-03-11 00:06:14 +0800, BME280|BH1750FVI, 18.38, 62.23, 1021.768, 54612
2018-03-11 00:06:21 +0800, BME280|BH1750FVI, 18.38, 62.49, 1021.797, 54612
2018-03-11 00:06:28 +0800, BME280|BH1750FVI, 18.38, 62.09, 1021.769, 54612
2018-03-11 00:06:35 +0800, BME280|BH1750FVI, 18.38, 61.84, 1021.792, 54612
2018-03-11 00:06:43 +0800, BME280|BH1750FVI, 18.38, 62.07, 1021.757, 54612
2018-03-11 00:06:50 +0800, BME280|BH1750FVI, 18.38, 62.00, 1021.767, 54612
2018-03-11 00:06:57 +0800, BME280|BH1750FVI, 18.39, 62.96, 1021.766, 54612
2018-03-11 00:07:04 +0800, BME280|BH1750FVI, 18.39, 63.10, 1021.774, 54612
2018-03-11 00:07:11 +0800, BME280|BH1750FVI, 18.40, 63.67, 1021.754, 54612
2018-03-11 00:07:18 +0800, BME280|BH1750FVI, 18.42, 63.88, 1021.760, 54612
2018-03-11 00:07:25 +0800, BME280|BH1750FVI, 18.43, 62.41, 1021.762, 54612
2018-03-11 00:07:32 +0800, BME280|BH1750FVI, 18.41, 61.77, 1021.750, 54612
2018-03-11 00:07:40 +0800, BME280|BH1750FVI, 18.40, 62.30, 1021.761, 54612
