DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2018-05-22 00:00:00 +0800, BME280|BH1750FVI, 29.34, 76.87, 1007.39, 0
2018-05-22 00:00:07 +0800, BME280|BH1750FVI, 29.30, 77.07, 1007.37, 0
2018-05-22 00:00:14 +0800, BME280|BH1750FVI, 29.29, 77.13, 1007.34, 0
2018-05-22 00:00:22 +0800, BME280|BH1750FVI, 29.28, 77.20, 1007.38, 0
2018-05-22 00:00:29 +0800, BME280|BH1750FVI, 29.28, 77.19, 1007.38, 0
2018-05-22 00:00:36 +0800, BME280|BH1750FVI, 29.29, 77.20, 1007.38, 0
2018-05-22 00:00:43 +0800, BME280|BH1750FVI, 29.29, 77.17, 1007.38, 0
2018-05-22 00:00:50 +0800, BME280|BH1750FVI, 29.29, 77.15, 1007.36, 0
2018-05-22 00:00:59 +0800, BME280|BH1750FVI, 29.30, 77.18, 1007.38, 0
2018-05-22 00:01:06 +0800, BME280|BH1750FVI, 29.31, 77.06, 1007.34, 0
2018-05-22 00:01:13 +0800, BME280|BH1750FVI, 29.31, 76.98, 1007.32, 0
2018-05-22 00:01:20 +0800, BME280|BH1750FVI, 29.30, 76.99, 1007.36, 0
2018-05-22 00:01:27 +0800, BME280|BH1750FVI, 29.30, 77.05, 1007.37, 0
2018-05-22 00:01:34 +0800, BME280|BH1750FVI, 29.30, 77.07, 1007.33, 0
2018-05-22 00:01:42 +0800, BME280|BH1750FVI, 29.29, 77.06, 1007.36, 0
2018-05-22 00:01:49 +0800, BME280|BH1750FVI, 29.27, 77.06, 1007.32, 0
2018-05-22 00:01:56 +0800, BME280|BH1750FVI, 29.26, 77.10, 1007.37, 0
2018-05-22 00:02:03 +0800, BME280|BH1750FVI, 29.26, 77.19, 1007.36, 0
2018-05-22 00:02:10 +0800, BME280|BH1750FVI, 29.27, 77.25, 1007.33, 0
2018-05-22 00:02:19 +0800, BME280|BH1750FVI, 29.29, 77.17, 1007.33, 0
2018-05-22 00:02:26 +0800, BME280|BH1750FVI, 29.33, 76.96, 1007.31, 0
2018-05-22 00:02:33 +0800, BME280|BH1750FVI, 29.38, 76.66, 1007.36, 0
2018-05-22 00:02:40 +0800, BME280|BH1750FVI, 29.40, 76.54, 1007.34, 0
2018-05-22 00:02:47 +0800, BME280|BH1750FVI, 29.42, 76.49, 1007.33, 0
2018-05-22 00:02:54 +0800, BME280|BH1750FVI, 29.44, 76.44, 1007.33, 0
2018-05-22 00:03:02 +0800, BME280|BH1750FVI, 29.46, 76.41, 1007.33, 0
2018-05-22 00:03:09 +0800, BME280|BH1750FVI, 29.45, 76.40, 1007.31, 0
2018-05-22 00:03:16 +0800, BME280|BH1750FVI, 29.44, 76.55, 1007.31, 0
2018-05-22 00:03:23 +0800, BME280|BH1750FVI, 29.42, 76.44, 1007.37, 0
2018-05-22 00:03:34 +0800, BME280|BH1750FVI, 29.38, 76.61, 1007.31, 0
2018-05-22 00:03:43 +0800, BME280|BH1750FVI, 29.35, 76.76, 1007.28, 0
2018-05-22 00:03:50 +0800, BME280|BH1750FVI, 29.34, 76.79, 1007.31, 0
2018-05-22 00:03:57 +0800, BME280|BH1750FVI, 29.33, 76.93, 1007.31, 0
2018-05-22 00:04:04 +0800, BME280|BH1750FVI, 29.34, 76.90, 1007.33, 0
2018-05-22 00:04:11 +0800, BME280|BH1750FVI, 29.35, 76.83, 1007.30, 0
2018-05-22 00:04:19 +0800, BME280|BH1750FVI, 29.37, 76.69, 1007.29, 0
2018-05-22 00:04:26 +0800, BME280|BH1750FVI, 29.38, 76.63, 1007.32, 0
2018-05-22 00:04:33 +0800, BME280|BH1750FVI, 29.40, 76.54, 1007.36, 0
2018-05-22 00:04:40 +0800, BME280|BH1750FVI, 29.43, 76.45, 1007.31, 0
2018-05-22 00:04:47 +0800, BME280|BH1750FVI, 29.45, 76.39, 1007.29, 0
2018-05-22 00:04:54 +0800, BME280|BH1750FVI, 29.45, 76.40, 1007.32, 0
2018-05-22 00:05:03 +0800, BME280|BH1750FVI, 29.47, 76.40, 1007.31, 0
2018-05-22 00:05:10 +0800, BME280|BH1750FVI, 29.48, 76.25, 1007.30, 0
2018-05-22 00:05:17 +0800, BME280|BH1750FVI, 29.48, 76.10, 1007.31, 0
2018-05-22 00:05:24 +0800, BME280|BH1750FVI, 29.46, 76.16, 1007.30, 0
2018-05-22 00:05:31 +0800, BME280|BH1750FVI, 29.43, 76.28, 1007.34, 0
2018-05-22 00:05:39 +0800, BME280|BH1750FVI, 29.42, 76.35, 1007.31, 0
2018-05-22 00:05:46 +0800, BME280|BH1750FVI, 29.42, 76.29, 1007.34, 0
2018-05-22 00:05:53 +0800, BME280|BH1750FVI, 29.39, 76.34, 1007.33, 0
2018-05-22 00:06:00 +0800, BME280|BH1750FVI, 29.37, 76.40, 1007.30, 0
2018-05-22 00:06:07 +0800, BME280|BH1750FVI, 29.36, 76.47, 1007.29, 0
2018-05-22 00:06:14 +0800, BME280|BH1750FVI, 29.35, 76.40, 1007.31, 0
2018-05-22 00:06:23 +0800, BME280|BH1750FVI, 29.33, 76.54, 1007.26, 0
2018-05-22 00:06:30 +0800, BME280|BH1750FVI, 29.33, 76.56, 1007.29, 0
2018-05-22 00:06:37 +0800, BME280|BH1750FVI, 29.33, 76.62, 1007.31, 0
2018-05-22 00:06:44 +0800, BME280|BH1750FVI, 29.32, 76.68, 1007.31, 0
2018-05-22 00:06:51 +0800, BME280|BH1750FVI, 29.31, 76.84, 1007.31, 0
2018-05-22 00:06:59 +0800, BME280|BH1750FVI, 29.31, 76.88, 1007.31, 0
2018-05-22 00:07:06 +0800, BME280|BH1750FVI, 29.30, 76.80, 1007.31, 0
2018-05-22 00:07:13 +0800, BME280|BH1750FVI, 29.28, 76.87, 1007.30, 0
2018-05-22 00:07:20 +0800, BME280|BH1750FVI, 29.26, 76.94, 1007.33, 0
2018-05-22 00:07:27 +0800, BME280|BH1750FVI, 29.23, 76.97, 1007.29, 0
2018-05-22 00:07:34 +0800, BME280|BH1750FVI, 29.20, 77.13, 1007.26, 0
2018-05-22 00:07:43 +0800, BME280|BH1750FVI, 29.21, 77.10, 1007.28, 0
2018-05-22 00:07:50 +0800, BME280|BH1750FVI, 29.24, 77.09, 1007.28, 0
2018-05-22 00:07:57 +0800, BME280|BH1750FVI, 29.27, 76.94, 1007.31, 0
2018-05-22 00:08:04 +0800, BME280|BH1750FVI, 29.29, 76.84, 1007.28, 0
2018-05-22 00:08:11 +0800, BME280|BH1750FVI, 29.31, 76.75, 1007.29, 0
2018-05-22 00:08:20 +0800, BME280|BH1750FVI, 29.32, 76.69, 1007.29, 0
2018-05-22 00:08:27 +0800, BME280|BH1750FVI, 29.33, 76.64, 1007.25, 0
2018-05-22 00:08:34 +0800, BME280|BH1750FVI, 29.36, 76.59, 1007.26, 0
2018-05-22 00:08:41 +0800, BME280|BH1750FVI, 29.40, 76.37, 1007.31, 0
2018-05-22 00:08:48 +0800, BME280|BH1750FVI, 29.42, 76.20, 1007.31, 0
2018-05-22 00:08:55 +0800, BME280|BH1750FVI, 29.45, 76.15, 1007.29, 0
2018-05-22 00:09:03 +0800, BME280|BH1750FVI, 29.46, 76.04, 1007.30, 0
2018-05-22 00:09:10 +0800, BME280|BH1750FVI, 29.45, 76.08, 1007.30, 0
2018-05-22 00:09:17 +0800, BME280|BH1750FVI, 29.43, 76.18, 1007.29, 0
2018-05-22 00:09:24 +0800, BME280|BH1750FVI, 29.42, 76.29, 1007.31, 0
2018-05-22 00:09:31 +0800, BME280|BH1750FVI, 29.41, 76.41, 1007.32, 0
2018-05-22 00:09:40 +0800, BME280|BH1750FVI, 29.41, 76.49, 1007.33, 0
2018-05-22 00:09:47 +0800, BME280|BH1750FVI, 29.40, 76.49, 1007.31, 0
2018-05-22 00:09:54 +0800, BME280|BH1750FVI, 29.41, 76.49, 1007.30, 0
2018-05-22 00:10:01 +0800, BME280|BH1750FVI, 29.42, 76.38, 1007.31, 0
2018-05-22 00:10:08 +0800, BME280|BH1750FVI, 29.41, 76.34, 1007.31, 0
2018-05-22 00:10:15 +0800, BME280|BH1750FVI, 29.38, 76.44, 1007.32, 0
2018-05-22 00:10:23 +0800, BME280|BH1750FVI, 29.36, 76.35, 1007.29, 0
2018-05-22 00:10:30 +0800, BME280|BH1750FVI, 29.35, 76.34, 1007.30, 0
2018-05-22 00:10:37 +0800, BME280|BH1750FVI, 29.32, 76.41, 1007.29, 0
2018-05-22 00:10:44 +0800, BME280|BH1750FVI, 29.31, 76.51, 1007.25, 0
2018-05-22 00:10:51 +0800, BME280|BH1750FVI, 29.31, 76.31, 1007.28, 0
2018-05-22 00:11:00 +0800, BME280|BH1750FVI, 29.31, 76.23, 1007.26, 0
2018-05-22 00:11:07 +0800, BME280|BH1750FVI, 29.30, 76.18, 1007.28, 0
2018-05-22 00:11:14 +0800, BME280|BH1750FVI, 29.29, 76.17, 1007.25, 0
2018-05-22 00:11:21 +0800, BME280|BH1750FVI, 29.30, 76.11, 1007.31, 0
2018-05-22 00:11:28 +0800, BME280|BH1750FVI, 29.32, 76.35, 1007.31, 0
