DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2018-08-27 00:00:01 +0800, BME280|BH1750FVI, 28.37, 88.88, 999.86, 0
2018-08-27 00:00:08 +0800, BME280|BH1750FVI, 28.37, 88.91, 999.89, 0
2018-08-27 00:00:17 +0800, BME280|BH1750FVI, 28.36, 89.00, 999.83, 0
2018-08-27 00:00:24 +0800, BME280|BH1750FVI, 28.35, 88.98, 999.85, 0
2018-08-27 00:00:31 +0800, BME280|BH1750FVI, 28.36, 89.07, 999.86, 0
2018-08-27 00:00:38 +0800, BME280|BH1750FVI, 28.36, 89.13, 999.87, 0
2018-08-27 00:00:45 +0800, BME280|BH1750FVI, 28.37, 89.15, 999.91, 0
2018-08-27 00:00:53 +0800, BME280|BH1750FVI, 28.36, 89.23, 999.93, 0
2018-08-27 00:01:00 +0800, BME280|BH1750FVI, 28.36, 89.35, 999.92, 0
2018-08-27 00:01:07 +0800, BME280|BH1750FVI, 28.35, 89.39, 999.91, 0
2018-08-27 00:01:14 +0800, BME280|BH1750FVI, 28.33, 89.54, 999.86, 0
2018-08-27 00:01:21 +0800, BME280|BH1750FVI, 28.32, 89.76, 1000.00, 0
2018-08-27 00:01:28 +0800, BME280|BH1750FVI, 28.32, 89.91, 999.96, 0
2018-08-27 00:01:37 +0800, BME280|BH1750FVI, 28.31, 89.96, 999.96, 0
2018-08-27 00:01:44 +0800, BME280|BH1750FVI, 28.30, 90.04, 999.89, 0
2018-08-27 00:01:51 +0800, BME280|BH1750FVI, 28.30, 90.06, 999.84, 0
2018-08-27 00:01:58 +0800, BME280|BH1750FVI, 28.29, 90.13, 999.86, 0
2018-08-27 00:02:05 +0800, BME280|BH1750FVI, 28.29, 90.17, 999.88, 0
2018-08-27 00:02:13 +0800, BME280|BH1750FVI, 28.30, 90.17, 999.85, 0
2018-08-27 00:02:20 +0800, BME280|BH1750FVI, 28.31, 90.20, 999.96, 0
2018-08-27 00:02:27 +0800, BME280|BH1750FVI, 28.31, 90.23, 999.89, 0
2018-08-27 00:02:34 +0800, BME280|BH1750FVI, 28.31, 90.22, 999.86, 0
2018-08-27 00:02:41 +0800, BME280|BH1750FVI, 28.31, 90.27, 999.84, 0
2018-08-27 00:02:48 +0800, BME280|BH1750FVI, 28.31, 90.29, 999.89, 0
2018-08-27 00:02:57 +0800, BME280|BH1750FVI, 28.32, 90.33, 999.85, 0
2018-08-27 00:03:04 +0800, BME280|BH1750FVI, 28.33, 90.36, 999.86, 0
2018-08-27 00:03:11 +0800, BME280|BH1750FVI, 28.34, 90.33, 999.85, 0
2018-08-27 00:03:18 +0800, BME280|BH1750FVI, 28.36, 90.35, 999.91, 0
2018-08-27 00:03:25 +0800, BME280|BH1750FVI, 28.36, 90.38, 999.88, 0
2018-08-27 00:03:33 +0800, BME280|BH1750FVI, 28.37, 90.40, 999.86, 0
2018-08-27 00:03:41 +0800, BME280|BH1750FVI, 28.38, 90.37, 999.85, 0
2018-08-27 00:03:48 +0800, BME280|BH1750FVI, 28.38, 90.36, 999.83, 0
