DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2018-08-03 00:00:03 +0800, BME280|BH1750FVI, 31.07, 77.00, 999.16, 0
2018-08-03 00:00:10 +0800, BME280|BH1750FVI, 31.07, 77.04, 999.16, 0
2018-08-03 00:00:17 +0800, BME280|BH1750FVI, 31.09, 77.00, 999.17, 0
2018-08-03 00:00:24 +0800, BME280|BH1750FVI, 31.08, 76.97, 999.15, 0
2018-08-03 00:00:31 +0800, BME280|BH1750FVI, 31.06, 77.04, 999.16, 0
2018-08-03 00:00:40 +0800, BME280|BH1750FVI, 31.03, 77.16, 999.18, 0
2018-08-03 00:00:47 +0800, BME280|BH1750FVI, 31.01, 77.22, 999.19, 0
2018-08-03 00:00:54 +0800, BME280|BH1750FVI, 31.00, 77.34, 999.19, 0
2018-08-03 00:01:01 +0800, BME280|BH1750FVI, 31.01, 77.34, 999.18, 0
2018-08-03 00:01:08 +0800, BME280|BH1750FVI, 31.01, 77.28, 999.17, 0
2018-08-03 00:01:16 +0800, BME280|BH1750FVI, 31.00, 77.38, 999.19, 0
2018-08-03 00:01:23 +0800, BME280|BH1750FVI, 30.99, 77.42, 999.21, 0
2018-08-03 00:01:30 +0800, BME280|BH1750FVI, 30.98, 77.49, 999.18, 0
2018-08-03 00:01:37 +0800, BME280|BH1750FVI, 30.98, 77.51, 999.17, 0
2018-08-03 00:01:44 +0800, BME280|BH1750FVI, 31.00, 77.49, 999.18, 0
2018-08-03 00:01:51 +0800, BME280|BH1750FVI, 31.03, 77.46, 999.18, 0
2018-08-03 00:02:00 +0800, BME280|BH1750FVI, 31.07, 77.30, 999.15, 0
2018-08-03 00:02:07 +0800, BME280|BH1750FVI, 31.09, 77.21, 999.15, 0
2018-08-03 00:02:14 +0800, BME280|BH1750FVI, 31.10, 77.12, 999.20, 0
2018-08-03 00:02:21 +0800, BME280|BH1750FVI, 31.08, 77.12, 999.17, 0
2018-08-03 00:02:28 +0800, BME280|BH1750FVI, 31.06, 77.23, 999.18, 0
2018-08-03 00:02:36 +0800, BME280|BH1750FVI, 31.05, 77.30, 999.16, 0
2018-08-03 00:02:43 +0800, BME280|BH1750FVI, 31.04, 77.32, 999.21, 0
2018-08-03 00:02:50 +0800, BME280|BH1750FVI, 31.03, 77.40, 999.17, 0
2018-08-03 00:02:57 +0800, BME280|BH1750FVI, 31.04, 77.45, 999.21, 0
2018-08-03 00:03:04 +0800, BME280|BH1750FVI, 31.05, 77.45, 999.18, 0
2018-08-03 00:03:11 +0800, BME280|BH1750FVI, 31.08, 77.34, 999.21, 0
2018-08-03 00:03:20 +0800, BME280|BH1750FVI, 31.10, 77.23, 999.23, 0
2018-08-03 00:03:27 +0800, BME280|BH1750FVI, 31.10, 77.24, 999.23, 0
2018-08-03 00:03:34 +0800, BME280|BH1750FVI, 31.11, 77.22, 999.24, 0
2018-08-03 00:03:41 +0800, BME280|BH1750FVI, 31.12, 77.16, 999.24, 0
2018-08-03 00:03:48 +0800, BME280|BH1750FVI, 31.13, 77.11, 999.22, 0
2018-08-03 00:03:56 +0800, BME280|BH1750FVI, 31.13, 77.14, 999.21, 0
2018-08-03 00:04:03 +0800, BME280|BH1750FVI, 31.12, 77.14, 999.22, 0
2018-08-03 00:04:10 +0800, BME280|BH1750FVI, 31.11, 77.19, 999.23, 0
2018-08-03 00:04:17 +0800, BME280|BH1750FVI, 31.12, 77.22, 999.25, 0
2018-08-03 00:04:24 +0800, BME280|BH1750FVI, 31.12, 77.17, 999.25, 0
2018-08-03 00:04:31 +0800, BME280|BH1750FVI, 31.12, 77.10, 999.22, 0
2018-08-03 00:04:40 +0800, BME280|BH1750FVI, 31.14, 76.99, 999.22, 0
