DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2017-10-16 00:15:42 +0800, BME280|BH1750FVI, 26.24, 100.00, 1012.358, 54612
2017-10-16 03:26:18 +0800, BME280|BH1750FVI, 25.58, 100.00, 1011.358, 5
2017-10-16 03:30:28 +0800, BME280|BH1750FVI, 25.75, 100.00, 1011.313, 54612
2017-10-16 03:31:24 +0800, BME280|BH1750FVI, 25.71, 100.00, 1011.319, 5
2017-10-16 05:48:42 +0800, BME280|BH1750FVI, 25.68, 100.00, 1012.420, 54612
2017-10-16 05:48:50 +0800, BME280|BH1750FVI, 25.67, 100.00, 1012.409, 54612
2017-10-16 05:49:20 +0800, BME280|BH1750FVI, 25.64, 100.00, 1012.413, 54612
2017-10-16 05:49:34 +0800, BME280|BH1750FVI, 25.62, 100.00, 1012.390, 54612
2017-10-16 05:49:42 +0800, BME280|BH1750FVI, 25.62, 100.00, 1012.414, 54612
2017-10-16 05:50:01 +0800, BME280|BH1750FVI, 25.63, 100.00, 1012.416, 54612
2017-10-16 05:50:38 +0800, BME280|BH1750FVI, 25.64, 100.00, 1012.394, 5
2017-10-16 05:54:22 +0800, BME280|BH1750FVI, 25.68, 100.00, 1012.520, 54612
2017-10-16 05:56:44 +0800, BME280|BH1750FVI, 25.71, 100.00, 1012.551, 54612
2017-10-16 06:01:39 +0800, BME280|BH1750FVI, 25.52, 100.30, 1012.654, 54612
2017-10-16 06:02:31 +0800, BME280|BH1750FVI, 25.52, 100.00, 1012.623, 54612
2017-10-16 06:03:38 +0800, BME280|BH1750FVI, 25.49, 100.00, 1012.622, 54612
2017-10-16 06:03:45 +0800, BME280|BH1750FVI, 29.48, 100.00, 1012.585, 54612
2017-10-16 06:03:53 +0800, BME280|BH1750FVI, 25.46, 100.00, 1012.590, 54693
2017-10-16 06:04:34 +0800, BME280|BH1750FVI, 25.44, 100.00, 1012.593, 54612
2017-10-16 06:05:45 +0800, BME280|BH1750FVI, 25.43, 100.00, 1012.613, 546
2017-10-16 06:06:48 +0800, BME280|BH1750FVI, 25.45, 100.00, 1012.591, 54612
2017-10-16 06:07:18 +0800, BME280|BH1750FVI, 25.44, 100.00, 1012.625, 5
2017-10-16 06:10:36 +0800, BME280|BH1750FVI, 25.55, 100.00, 1012.601, 54612
2017-10-16 06:10:51 +0800, BME280|BH1750FVI, 25.54, 100.00, 1012.576, 54612
2017-10-16 06:11:51 +0800, BME280|BH1750FVI, 25.58, 100.00, 1012.603, 54612
2017-10-16 06:13:39 +0800, BME280|BH1750FVI, 25.37, 100.00, 1012.641, 5
2017-10-16 06:14:01 +0800, BME280|BH1750FVI, 25.42, 100.00, 1012.686, 54612
2017-10-16 06:15:42 +0800, BME280|BH1750FVI, 25.49, 100.00, 1012.657, 54612
2017-10-16 06:17:53 +0800, BME280|BH1750FVI, 25.57, 100.00, 1012.694, 54612
2017-10-16 06:21:52 +0800, BME280|BH1750FVI, 25.68, 100.00, 1012.600, 5
2017-10-16 06:23:32 +0800, BME280|BH1750FVI, 25.68, 100.00, 1012.647, 54612
2017-10-16 06:29:42 +0800, BME280|BH1750FVI, 25.67, 800.00, 1012.687, 54
2017-10-16 06:30:08 +0800, BME280|BH1750FVI, 25.72, 100.00, 1012.692, 54612
2017-10-16 06:37:06 +0800, BME280|BH1750FVI, 26.13, 100.00, 1012.651, 54612
2017-10-16 06:37:14 +0800, BME280|BH1750FVI, 26.08, 100.00, 1012.647, 54612
2017-10-16 06:37:29 +0800, BME280|BH1750FVI, 25.99, 100.00, 1102.656, 54612
2017-10-16 06:37:55 +0800, BME280|BH1750FVI, 26.04, 100.00, 1012.638, 54612
2017-10-16 06:39:43 +0800, BME280|BH1750FVI, 26.33, 100.00, 1012.668, 54612
2017-10-16 06:40:35 +0800, BME280|BH1750FVI, 26.40, 100.00, 1012.625, 54612
2017-10-16 06:40:46 +0800, BME280|BH1750FVI, 26.41, 100.00, 1012.640, 54612
2017-10-16 06:57:12 +0800, BME280|BH1750FVI, 27.46, 100.00, 1012.573, 54612
2017-10-16 06:57:31 +0800, BME280|BH1750FVI, 27.46, 100.00, 1012.542, 54612
2017-10-16 06:57:38 +0800, BME280|BH1750FVI, 27.46, 100.00, 1012.564, 54612
2017-10-16 06:57:57 +0800, BME280|BH1750FVI, 27.47, 100.00, 1012.541, 54612
2017-10-16 06:58:04 +0800, BME280|BH1750FVI, 27.49, 100.00, 1012.573, 54612
2017-10-16 06:58:11 +0800, BME280|BH1750FVI, 27.50, 100.00, 1012.542, 54612
2017-10-16 06:58:19 +0800, BME280|BH1750FVI, 27.53, 100.00, 1012.576, 54612
2017-10-16 06:58:26 +0800, BME280|BH1750FVI, 27.55, 100.00, 1012.547, 54612
2017-10-16 06:58:34 +0800, BME280|BH1750FVI, 27.56, 100.00, 1012.554, 54612
2017-10-16 06:58:41 +0800, BME280|BH1750FVI, 27.57, 100.00, 1012.530, 54612
2017-10-16 06:58:49 +0800, BME280|BH1750FVI, 27.58, 100.00, 1012.537, 54612
