DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa), Light (lx)
2019-07-04 00:00:01 +0800, BME280|BH1750FVI, 30.13, 97.01, 1006.69, 0
2019-07-04 00:00:08 +0800, BME280|BH1750FVI, 30.11, 96.57, 1006.65, 0
2019-07-04 00:00:15 +0800, BME280|BH1750FVI, 30.08, 97.22, 1006.66, 0
2019-07-04 00:00:22 +0800, BME280|BH1750FVI, 30.06, 97.32, 1006.66, 0
2019-07-04 00:00:30 +0800, BME280|BH1750FVI, 30.04, 97.44, 1006.64, 0
2019-07-04 00:00:37 +0800, BME280|BH1750FVI, 30.01, 97.74, 1006.66, 0
2019-07-04 00:00:44 +0800, BME280|BH1750FVI, 29.98, 98.02, 1006.65, 0
2019-07-04 00:00:51 +0800, BME280|BH1750FVI, 29.95, 98.24, 1006.66, 0
2019-07-04 00:00:58 +0800, BME280|BH1750FVI, 29.95, 98.39, 1006.68, 0
2019-07-04 00:01:07 +0800, BME280|BH1750FVI, 29.96, 98.00, 1006.68, 0
2019-07-04 00:01:14 +0800, BME280|BH1750FVI, 29.93, 98.17, 1006.66, 0
2019-07-04 00:01:21 +0800, BME280|BH1750FVI, 29.92, 98.13, 1006.62, 0
2019-07-04 00:01:28 +0800, BME280|BH1750FVI, 29.89, 98.50, 1006.65, 0
2019-07-04 00:01:35 +0800, BME280|BH1750FVI, 29.87, 98.75, 1006.63, 0
2019-07-04 00:01:42 +0800, BME280|BH1750FVI, 29.84, 98.95, 1006.64, 0
2019-07-04 00:01:50 +0800, BME280|BH1750FVI, 29.83, 99.16, 1006.65, 0
2019-07-04 00:01:57 +0800, BME280|BH1750FVI, 29.85, 99.21, 1006.65, 0
2019-07-04 00:02:04 +0800, BME280|BH1750FVI, 29.87, 98.81, 1006.66, 0
2019-07-04 00:02:11 +0800, BME280|BH1750FVI, 29.86, 98.89, 1006.63, 0
2019-07-04 00:02:22 +0800, BME280|BH1750FVI, 29.85, 99.00, 1006.63, 0
2019-07-04 00:02:31 +0800, BME280|BH1750FVI, 29.80, 99.23, 1006.63, 0
2019-07-04 00:02:38 +0800, BME280|BH1750FVI, 29.78, 99.19, 1006.63, 0
2019-07-04 00:02:45 +0800, BME280|BH1750FVI, 29.78, 99.38, 1006.63, 0
2019-07-04 00:02:52 +0800, BME280|BH1750FVI, 29.76, 99.40, 1006.63, 0
2019-07-04 00:02:59 +0800, BME280|BH1750FVI, 29.75, 99.68, 1006.61, 0
2019-07-04 00:03:07 +0800, BME280|BH1750FVI, 29.75, 99.53, 1006.66, 0
2019-07-04 00:03:14 +0800, BME280|BH1750FVI, 29.76, 98.60, 1006.62, 0
2019-07-04 00:03:21 +0800, BME280|BH1750FVI, 29.79, 98.27, 1006.65, 0
2019-07-04 00:03:28 +0800, BME280|BH1750FVI, 29.81, 98.32, 1006.62, 0
2019-07-04 00:03:35 +0800, BME280|BH1750FVI, 29.82, 98.73, 1006.64, 0
2019-07-04 00:03:42 +0800, BME280|BH1750FVI, 29.79, 99.16, 1006.63, 0
2019-07-04 00:03:51 +0800, BME280|BH1750FVI, 29.77, 99.50, 1006.63, 0
2019-07-04 00:03:58 +0800, BME280|BH1750FVI, 29.75, 99.74, 1006.56, 0
2019-07-04 00:04:05 +0800, BME280|BH1750FVI, 29.73, 99.92, 1006.58, 0
2019-07-04 00:04:12 +0800, BME280|BH1750FVI, 29.73, 99.81, 1006.61, 0
2019-07-04 00:04:19 +0800, BME280|BH1750FVI, 29.71, 99.78, 1006.58, 0
